city,zone,zone_type,locality
Kozhikode,Kozhikode,ZONE,St.Vincent Colony
Nellore,Nellore,ZONE,Pudiparthi
Nagpur,Dhantoli,ZONE,Congress Nagar
Nagpur,Ramdaspeth,ZONE,Giripeth
Tirunelveli,Tirunelveli,ZONE,Mullikulam
Tirunelveli,Tirunelveli,ZONE,Kuthukalvalasai
Allahabad,Allahabad,ZONE,Imli Gaon
Allahabad,Allahabad,ZONE,Daraganj
Bilaspur,Bilaspur,ZONE,Mudpar
Kakinada,Kakinada,ZONE,Indrapalem
Bilaspur,Bilaspur,ZONE,Pandarbhattha
Guntur,Guntur,ZONE,Vemavaram
Chennai,Chennai South West 2,ZONE,Pallavaram
Thiruvananthapuram,Thiruvananthapuram,ZONE,Edakode
Thrissur,Thrissur,ZONE,Kuttur
Tirunelveli,Tirunelveli,ZONE,Idayangudi
Warangal,Warangal,ZONE,Buchannapet
Agra,Kamla Nagar,ZONE,Labour Colony
Bangalore,BTM Layout,ZONE,Begur
Kottayam,Kottayam,ZONE,Choondacherry
Thiruvananthapuram,Thiruvananthapuram,ZONE,Kudayal
Thiruvananthapuram,Thiruvananthapuram,ZONE,Marayamuttom
Thiruvananthapuram,Thiruvananthapuram,ZONE,Veliyamcode
Aurangabad,Aurangabad,ZONE,Dudhad
Patna,Raja Bazar,ZONE,Gardanibagh
Dantewada,Dantewada,ZONE,Tikanpal
Chittoor,Chittoor,ZONE,Urandur
Chittoor,Chittoor,ZONE,Thandlam
Guntur,Guntur,ZONE,Ramapuram
Amritsar,Amritsar,ZONE,Neshta
Lucknow,Hazratganj,ZONE,Suspen
Nellore,Nellore,ZONE,Ananthamadugu
Nagpur,Ramdaspeth,ZONE,Trimurti Nagar
Warangal,Warangal,ZONE,Seetarampur
Warangal,Warangal,ZONE,Venkatapuram
Puducherry,Puducherry,ZONE,Mannadipattu
Guntur,Guntur,ZONE,Grandhasiri
Hooghly,Hooghly,ZONE,Balarambati
Hooghly,Hooghly,ZONE,Gopalnagar Harharia
Dantewada,Dantewada,ZONE,Korra
Mohali,Mohali,ZONE,Kumbra
Warangal,Warangal,ZONE,Venkataraopalli
Warangal,Warangal,ZONE,Appireddipalli
Tirunelveli,Tirunelveli,ZONE,Vijayapathi
Chittoor,Chittoor,ZONE,Danamaiahgarivuru
Rajahmundry,Rajahmundry,ZONE,Syamalanagar
Guntur,Guntur,ZONE,Ravikampadu
Delhi,Nehru place,ZONE,Govindpuri
Amritsar,Amritsar,ZONE,Mahmoodpura
Kolkata,Bhowanipore,ZONE,New Alipore
Warangal,Warangal,ZONE,Akkarajpalli
Tangerang,Tangerang,ZONE,Larangan Indah
North 24 Parganas,North 24 Parganas,ZONE,Mashyampur
Allahabad,Allahabad,ZONE,Tirath Raj Aushadhalaya
Nellore,Nellore,ZONE,Zakkepalligudur
Nellore,Nellore,ZONE,Jonnavada
Nellore,Nellore,ZONE,Papannagaripalli
Madurai,Madurai,ZONE,Odaipatti
Tangerang,Tangerang,ZONE,Karawaci Baru
Lucknow,Ashiyana,ZONE,Indralok Colony
North 24 Parganas,North 24 Parganas,ZONE,Deara
Gurgaon,Badsharpur,ZONE,Gurgaon Sector 109
Lucknow,Ashiyana,ZONE,Adarsh Nagar
Indore,Sapna Sangeeta,ZONE,Manikbagh
Ranchi,Ranchi,ZONE,Parasi
Mangalore,Mangalore,ZONE,Bengre Casba
Mangalore,Mangalore,ZONE,Boliyar
Amritsar,Amritsar,ZONE,Shahbazpura
Faridabad,Faridabad,ZONE,Kurali
Ranchi,Ranchi,ZONE,Banapiri
Ernakulam,Kakkanad,ZONE,Azhakam
Jamshedpur,Jamshedpur,ZONE,"TISCO, Central Mailing Section"
Jamshedpur,Jamshedpur,ZONE,Voltas Pvt. Ltd Diagonal Road
Salem,Salem,ZONE,Dadagapatti
Mysore,Mysore,ZONE,Saraswathipuram
Vadodara,Raopura,ZONE,Dandia Bazar
Thrissur,Thrissur,ZONE,Perumthuruthy
Aurangabad,Aurangabad,ZONE,Jamdi Jahangir
Kozhikode,Kozhikode,ZONE,Quilandibazar
Thiruvananthapuram,Thiruvananthapuram,ZONE,Parayathukonam
Aurangabad,Aurangabad,ZONE,Tisgaon
Pune,Hadapsar,ZONE,Sasanenagar
Chittoor,Chittoor,ZONE,Kovanur
Nellore,Nellore,ZONE,Fathekhanpet
Tiruchirappalli,Tiruchirappalli,ZONE,Clock Tower
Tirunelveli,Tirunelveli,ZONE,Kuthenkuli
Allahabad,Allahabad,ZONE,Deonahri
Thrissur,Thrissur,ZONE,Padiyur
Dantewada,Dantewada,ZONE,Gollapalli
Chittoor,Chittoor,ZONE,Peddakanuparthi
Aurangabad (BH),Aurangabad (BH),ZONE,Sori
Kanpur,Swaroop Nagar,ZONE,Elgin Mills
Kanpur,Kidwai Nagar,ZONE,J K Puri
Chittoor,Chittoor,ZONE,Kancharapalem
Chittoor,Chittoor,ZONE,Inagalur
Jaipur,Jhotwara,ZONE,A C Jobner
Guntur,Guntur,ZONE,Gogulapadu
Erode,Erode,ZONE,Cauvery Railway Station
Nellore,Nellore,ZONE,A.C.Nagar
Aurangabad,Aurangabad,ZONE,Bokud Jalgaon
Aurangabad,Aurangabad,ZONE,Gevarai BK
Tiruchirappalli,Tiruchirappalli,ZONE,Thiruvengimalai
Tiruchirappalli,Tiruchirappalli,ZONE,Boiler Project - TR
Warangal,Warangal,ZONE,Punugondla
Bangalore,Whitefield,ZONE,Kundalahalli
Thrissur,Thrissur,ZONE,Chembuchira
Chittoor,Chittoor,ZONE,Burakayalakota
Indore,Old Indore,ZONE,Indore Cloth Market
Thane,Ulhasnagar,ZONE,Ambernath
Dantewada,Dantewada,ZONE,Shyamgiri
Amritsar,Amritsar,ZONE,Baba Bakala
Warangal,Warangal,ZONE,Posanpalli
Tiruchirappalli,Tiruchirappalli,ZONE,Uyyakondanthirumalai
Tiruchirappalli,Tiruchirappalli,ZONE,Baderpettai
Kanpur,Swaroop Nagar,ZONE,Arya Nagar
Chittoor,Chittoor,ZONE,Sarakallu
Erode,Erode,ZONE,Bhavani Cutcherry
Nellore,Nellore,ZONE,Chilakalamarri
Aurangabad (BH),Aurangabad (BH),ZONE,Charam
Salem,Salem,ZONE,Sittampatti
Chittoor,Chittoor,ZONE,Satravada
Chandigarh,Sector 36,ZONE,Sector 40
Lucknow,Ashiyana,ZONE,Sarojini Nagar
Aurangabad (BH),Aurangabad (BH),ZONE,Anti
Bilaspur,Bilaspur,ZONE,Bacharwar
Bilaspur,Bilaspur,ZONE,Ranigaon
Guntur,Guntur,ZONE,Kiskindapalem
Thrissur,Thrissur,ZONE,Alur Mattam
Thrissur,Thrissur,ZONE,Kumarappanal
Tiruchirappalli,Tiruchirappalli,ZONE,Cholanganallur
Tiruchirappalli,Tiruchirappalli,ZONE,Adhigaram
Tiruchirappalli,Tiruchirappalli,ZONE,Ponnaiar Dam
Nashik,Gangapur Road,ZONE,Gangapur
Warangal,Warangal,ZONE,Andanalapadu
Tirunelveli,Tirunelveli,ZONE,Idaikal
Warangal,Warangal,ZONE,Laxmipur
Chittoor,Chittoor,ZONE,Gundlaguttapalle
Tirunelveli,Tirunelveli,ZONE,Karaiyiruppu
Allahabad,Allahabad,ZONE,Baraut
Lucknow,Ashiyana,ZONE,Garhi Chunauti
Delhi,South extension,ZONE,Gautam Nagar
Chennai,Chennai South West 2,ZONE,Chromepet
Chennai,Chennai South East 1,ZONE,Palavakkam
Kozhikode,Kozhikode,ZONE,Keezhariyur
Thrissur,Thrissur,ZONE,Agalad
Thrissur,Thrissur,ZONE,Annakara
Nellore,Nellore,ZONE,Narikellapalli
Thrissur,Thrissur,ZONE,Azhikode-Thrissur
Tiruchirappalli,Tiruchirappalli,ZONE,Alathur
Tirunelveli,Tirunelveli,ZONE,Santhinagar
Tirunelveli,Tirunelveli,ZONE,Sivanthipatti
Allahabad,Allahabad,ZONE,Bahadurganj
Kozhikode,Kozhikode,ZONE,Devagiri College
Kozhikode,Kozhikode,ZONE,Eranhipalam
Kozhikode,Kozhikode,ZONE,Madavoor
Kozhikode,Kozhikode,ZONE,Ramanattukara
Warangal,Warangal,ZONE,Nemiligonda
Indore,Palasia,ZONE,Indore Pardesipura
Aurangabad,Aurangabad,ZONE,Banoti
Tirunelveli,Tirunelveli,ZONE,Kilapavur
Warangal,Warangal,ZONE,Gudur
Allahabad,Allahabad,ZONE,Bajha Mazra Lohia Nagar
Bilaspur,Bilaspur,ZONE,Shivtarai
Kakinada,Kakinada,ZONE,Jagannaickpur
Guntur,Guntur,ZONE,Chamarru
Hooghly,Hooghly,ZONE,Bagnan Chaitanyabati
Hooghly,Hooghly,ZONE,Mandra
North Goa,North Goa,ZONE,Pilar
Meerut,Shastri Nagar,ZONE,L. L. R. M. Med.college
Tirunelveli,Tirunelveli,ZONE,Krishnapuram
Chittoor,Chittoor,ZONE,Batagundrevaripalle
Delhi,Greater kailash,ZONE,Greater Kailash Part 1
Jaipur,Vidhyadhar Nagar,ZONE,Vishwakarma Industrial Area
Salem,Salem,ZONE,Pappampadi
Tirunelveli,Tirunelveli,ZONE,Piranur
Delhi,Dwarka,ZONE,Dwarka Sector 15
Erode,Erode,ZONE,Pachampalayam
Karur,Karur,ZONE,Pappakkapatti
Madurai,Madurai,ZONE,Peraiyur
Tangerang,Tangerang,ZONE,Pagenjahan
San Juan,San Juan Region,ZONE,Barrio San Jose
North 24 Parganas,North 24 Parganas,ZONE,Sikrakulingarh
Gurgaon,Manesar,ZONE,Gurgaon Sector 66
Ahmedabad,Maninagar,ZONE,Khadia
Ahmedabad,Memnagar,ZONE,Thaltej
Singapore,Sengkang,ZONE,Punggol
Ghaziabad,Raj Nagar,ZONE,Raj Nagar Extension
Allahabad,Allahabad,ZONE,Naini
Panchkula,Panchkula,ZONE,Railly
Tangerang,Tangerang,ZONE,Karawaci
Kolkata,Central,ZONE,Bengal Chemical
Bilaspur,Bilaspur,ZONE,Kathakoni
Lucknow,Aliganj,ZONE,Sairpur
Ranchi,Ranchi,ZONE,Bisa
Guntur,Guntur,ZONE,Daida
Bhubaneswar,Bhubaneswar,ZONE,Acharya Vihar
Mangalore,Mangalore,ZONE,Sandspit
Mysore,Mysore,ZONE,Thumbasoge
Kannur,Kannur,ZONE,Chekkikulam
Kannur,Kannur,ZONE,Cheleri
Mysore,Mysore,ZONE,Vijayanagar
Hyderabad,Himayat nagar,ZONE,Adarsh Nagar
Nellore,Nellore,ZONE,Dachur
Ernakulam,Kakkanad,ZONE,Chathamattam
Kannur,Kannur,ZONE,Mattanur
Ludhiana,Ludhiana Zone 3,ZONE,Guru Tegh Bahadur nagar
Thiruvananthapuram,Thiruvananthapuram,ZONE,Vizhinjam
Tirunelveli,Tirunelveli,ZONE,Sivasailam
Bangalore,Indiranagar,ZONE,HAL 2nd Stage
Bhopal,East Bhopal,ZONE,Anand Nagar
East Khasi Hills,Shillong-East Khasi Hills,ZONE,Rynjah
Thiruvananthapuram,Thiruvananthapuram,ZONE,Amachal
Chittoor,Chittoor,ZONE,Gajulavaripalle
Guntur,Guntur,ZONE,Etukuru
Bhubaneswar,Bhubaneswar,ZONE,I R C Village
Chittoor,Chittoor,ZONE,Kasipentla
Amritsar,Amritsar,ZONE,Chak Sikandar
Amritsar,Amritsar,ZONE,Kullah
Guntur,Guntur,ZONE,Vengalayapalem
Guntur,Guntur,ZONE,Ponnur
Meerut,Sadar Bazaar,ZONE,Banker Street
Hooghly,Hooghly,ZONE,Radhanagar
Erode,Erode,ZONE,Chikkarasampalayam
Thiruvananthapuram,Thiruvananthapuram,ZONE,Puliyurkonam
Thrissur,Thrissur,ZONE,Mundur
Thrissur,Thrissur,ZONE,Punkunnu
Chittoor,Chittoor,ZONE,Bandrevu
Nellore,Nellore,ZONE,Nellimitta Kandriga
Aurangabad,Aurangabad,ZONE,Gondegaon
Patna,Raja Bazar,ZONE,Patna Sectt.
Chandigarh,Sector 36,ZONE,Punjab Uni
Warangal,Warangal,ZONE,Chillamcherla
